INDEX,JOURNAL,ISSN,2013/2014,2012,2011,2010,2009,2008
6413,Medical Informatics And The Internet In Medicine,14639238,0,0,0,0,1.036,0.922
6414,Medicina Intensiva,02105691,1.24,1.323,1.072,1.496,0,0
6415,Medical Journal Of Australia,0025729X,3.789,2.853,2.813,2.684,2.894,3.320
6416,Medizinische Klinik-Intensivmedizin und Notfallmedizin,21936218,0.418,,0,0,0,0
6417,Medizinische Klinik,07235003,0.269,0,0.343,0.447,0.473,0.451
6418,Medicina del Lavoro,00257818,0.482,0.384,0.321,0.391,0.206,0
6419,Medical Law Review,09670742,0.729,0.755,0.773,0,0,0
6420,Medical Letter On Drugs And Therapeutics,0025732X,0.407,0.557,0.324,0.28,0.375,0.393
6421,Medicina-Lithuania,1010660X,0.508,0.55,0.423,0.446,0.506,0
6422,Medecine Et Maladies Infectieuses,0399077X,0.912,0.753,0.723,0.484,0.459,0.621
6423,Medical Microbiology And Immunology,03008584,2.433,3.545,3.833,3.27,3.767,2.222
6424,Medical Molecular Morphology,18601480,1.07,1.171,1.388,1.513,1.297,1.536
6425,Medical Mycology,13693786,2.261,1.979,2.457,2.329,2.133,2.156
6426,Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique,09281258,0.155,0.253,0.193,0.227,0,0
6427,Medical Oncology,13570560,2.058,2.147,2.14,2.21,1.227,1.134
6428,Medicina Oral Patologia Oral y Cirugia Bucal,16986946,1.095,1.017,0,0,0,0
6429,Medicina Paliativa,1134248X,0.162,0.326,0.219,0,0,0
6430,Medical Physics,00942405,3.012,2.911,2.83,3.07,2.704,3.871
6431,Medycyna Pracy,04655893,0.318,0.391,0.303,0.268,0,0
6432,Medical Principles And Practice,10117571,1.113,0.963,0.887,1.069,0.824,0.583
6433,Medical Problems Of Performing Artists,08851158,0.893,0.922,0.545,0.434,0.617,0.356
6434,Medicinal Research Reviews,01986325,8.131,9.583,10.7,10.228,8.656,8.907
6435,Medicine Science And The Law,00258024,0.758,0.484,0.446,0.29,0.523,0.467
6436,Medical Science Monitor,16433750,1.216,1.358,0,1.699,1.543,1.514
6437,Medicine And Science In Sports And Exercise,01959131,4.459,4.475,4.431,4.106,3.707,3.399
6438,Medicina Dello Sport,00257826,0.125,0.294,0.257,0.255,0.102,0.100
6439,Medical Teacher,0142159X,2.045,1.824,1.217,1.494,1.333,1.121
6440,Medical And Veterinary Entomology,0269283X,2.333,2.208,1.91,1.895,2.092,1.788
6441,Medycyna Weterynaryjna-Veterinary Medicine-Science and Practice,00258628,0.196,0.203,0,0,0,0
6442,MedChemComm,20402503,2.626,2.722,2.8,,0,0
6443,Mediators Of Inflammation,09629351,2.417,3.882,3.263,2.059,2.019,1.395
6444,Medicc Rev,15557960,0,1.114,0.926,1.286,0,0
6445,Medicina-Buenos Aires,00257680,0.421,0.423,0.465,0.515,0.33,0.217
6446,Medicine,00257974,4.867,4.233,4.35,4.256,5.054,4.329
6447,Mediterranean Journal of Mathematics,16605446,0.653,0.641,0.463,0.645,0.492,0.357
6448,Mediterr J Otol,13055267,0,0,0,0.108,0.092,0
6449,Mediterranean Marine Science,1108393X,1.734,1.574,1.375,0.568,0,0
6450,Melanoma Research,09608931,2.098,2.518,2.187,2.254,2.061,2.336
6451,Memoirs Of The American Mathematical Society,00659266,1.782,1.821,2.259,2.491,2.24,2.367
6452,Memorias Do Instituto Oswaldo Cruz,00740276,1.566,1.363,2.147,2.058,2.097,1.450
6453,Membrane Water Treatment,20058624,0.436,0.317,0,0,0,0
6454,Mendeleev Communications,09599436,1.154,1.052,0.901,0.814,0.769,0.609
6455,Menopause-The Journal Of The North American Menopause Society,10723714,2.807,3.163,3.758,3.318,3.082,3.452
6456,Mental Retardation And Developmental Disabilities Research Reviews,10804013,0,0,0,0,3.8,2.727
6457,Mer-Marine Engineers Review,00475955,0,0,0,0,0,0.005
6458,Metals And Materials International,15989623,1.223,1.434,1.183,1.195,1.09,1.139
6459,Metal Science And Heat Treatment,00260673,0.362,0.162,0.185,0.117,0.102,0.157
6460,Metabolic Brain Disease,08857490,2.398,2.333,2.198,2.343,1.959,1.825
6461,Metabolic Engineering,10967176,8.258,6.859,5.614,5.512,4.725,4.144
6462,Metabolic Syndrome and Related Disorders,15404196,1.916,1.652,1.932,0,0,0
6463,Metabolism-Clinical And Experimental,00260495,3.611,3.096,2.664,2.538,2.588,2.920
6464,Metabolomics,15733882,3.965,4.433,4.505,3.608,3.871,3.254
6465,Metal Int,15822214,0,0.134,0.084,0.154,0.173,0
6466,Metallurgia Italiana,00260843,0.227,0.123,0.053,0.137,0,0
6467,Metallurgical And Materials Transactions A-Physical Metallurgy And Material,10735623,1.73,1.627,1.545,1.712,1.564,1.389
6468,Metallurgical And Materials Transactions B-Process Metallurgy And Materials Processing Science,10735615,1.323,1.212,0.903,0.963,0.932,0.798
6469,Metallofizika I Noveishie Tekhnologii,10241809,0.109,0.108,0.143,0.15,0.089,0.107
6470,Metallomics,17565901,3.978,4.099,3.902,3.592,,0
6471,Metallurgist,00260894,0.244,0.142,0.11,0.086,0.157,0.091
6472,Metalurgija,05435846,0.755,0.69,0.259,0.348,0.439,0.216
6473,Meteoritics & Planetary Science,10869379,2.827,2.8,2.719,2.624,3.253,1.993
6474,Meteorological Applications,13504827,1.518,1.318,1.411,1.402,1.467,0.583
6475,Meteorology And Atmospheric Physics,01777971,1.245,1.327,0.903,0.921,0.872,1.034
6476,Meteorologische Zeitschrift,09412948,1.16,1.084,1.336,1.402,1.097,1.257
6477,Methods In Cell Biology,0091679X,1.44,1.444,0,1.877,2.049,1.595
6478,Methods In Enzymology,00766879,2.194,2.002,2.042,1.626,1.904,2.312
6479,Methods And Findings In Experimental And Clinical Pharmacology,03790355,0,0.774,0.926,1.037,1.136,1.000
6480,Methods Of Information In Medicine,00261270,1.083,1.6,1.532,1.472,1.69,1.057
6481,Methods In Microbiology,05809517,2.167,0.432,0.316,,0,0.217
6482,Methodology And Computing In Applied Probability,13875841,0.778,0.647,0.753,0.774,0.814,0.776
6483,Methods in Ecology and Evolution,2041210X,5.322,5.924,5.093,0,0,0
6484,Methods,10462023,3.221,3.641,4.011,4.527,3.763,3.291
6485,Metrika,00261335,0.45,0.724,0.674,0.584,0.535,0.320
6486,Metrology and Measurement Systems,08608229,0.609,0.982,0.764,0.587,0,0
6487,Metrologia,00261394,1.653,1.902,1.75,1.684,1.634,1.780
6488,Michigan Mathematical Journal,00262285,0.646,0.6,0.948,0.673,0.581,0.562
6489,Micro & Nano Letters,17500443,0.799,0.845,0.944,0.836,1.167,0.849
6490,Micro,10810595,0,0,0,0,0,0.586
6491,Microbial Biotechnology,17517907,3.023,3.214,2.534,0,0,0
6492,Microbial Cell Factories,14752859,4.25,3.306,3.552,4.544,3.432,3.338
6493,Microbial Drug Resistance,10766294,2.524,2.364,2.153,1.936,1.989,1.800
6494,Microbial Ecology,00953628,3.118,3.277,2.912,2.875,3.251,2.885
6495,Microbial Pathogenesis,08824010,2,1.974,1.938,2,2.324,2.289
6496,Microbes And Environments,13426311,2.424,2.444,1.906,2.301,0.98,0
6497,Microbes And Infection,12864579,2.731,2.92,3.101,2.726,2.757,2.801
6498,Microbiology And Immunology,03855600,1.306,1.545,1.304,1.227,1.562,1.421
6499,Microbiology And Molecular Biology Reviews,10922172,15.255,16.417,13.018,12.22,12.585,16.950
6500,Microbiological Research,09445013,1.939,1.993,2.308,1.958,1.771,2.054
6501,Microbiology-Sgm,13500872,2.835,2.852,3.061,2.957,3.025,2.841
6502,Microbiology,00262617,0.712,0.649,0.718,0.813,0.638,0.705
6503,Microchemical Journal,0026265X,3.583,2.879,3.048,2.48,2.579,2.505
6504,Microchimica Acta,00263672,3.719,3.434,3.033,2.578,2.648,1.910
6505,Microcirculation,10739688,2.263,2.763,2.574,2.533,2.368,2.464
6506,Microelectronic Engineering,01679317,1.338,1.224,1.557,1.569,1.488,1.583
6507,Microelectronics International,13565362,0.872,0.731,0.6,0.468,0.588,0.471
6508,Microelectronics Journal,00262692,0.924,0.912,0.919,0.787,0.778,0.859
6509,Microelectronics Reliability,00262714,1.214,1.137,1.167,1.066,1.117,1.290
6510,Microfluidics and Nanofluidics,16134982,2.665,3.218,3.371,3.504,3.286,3.314
6511,Microgravity Science And Technology,09380108,0.648,0,0.591,0.713,0.632,0.475
6512,Microlithography World,1074407X,0,0,0,0.375,0.188,0.250
6513,Micromachines,2072666X,1.286,0,0,0,0,0
6514,Micron,09684328,2.062,1.876,1.527,1.649,1.626,1.839
6515,Micropaleontology,00262803,0,0.706,0.569,0.561,0.923,0.448
6516,Microporous And Mesoporous Materials,13871811,3.209,3.365,3.285,3.22,2.652,2.555
6517,Microprocessors And Microsystems,01419331,0.598,0.549,0.575,0.545,0.516,0.652
6518,Microscopy And Microanalysis,14319276,1.757,2.495,3.007,2.179,3.035,2.992
6519,Microscopy Research And Technique,1059910X,1.17,1.593,1.792,1.712,1.85,1.883
6520,Microsurgery,07381085,2.421,1.623,1.605,1.555,1.244,1.045
6521,Microsystem Technologies,09467076,0.952,0.827,0.931,1.069,1.025,1.229
6522,Microvascular Research,00262862,2.432,2.929,2.828,2.39,3.075,3.000
6523,Microwave And Optical Technology Letters,08952477,0.623,0.585,0.618,0.656,0.682,0.743
6524,Microwave Journal,01926225,0.286,0.167,0.145,0.268,0.512,0.520
6525,Microwaves & Rf,07452993,0.053,0.044,0.087,0.073,0.04,0.061
6526,Midwifery,02666138,1.707,1.116,1.777,1.281,1.163,1.042
6527,Mikrobiyoloji Bulteni,03749096,0.438,0.611,0.402,0.354,0.286,0.301
6528,Military Medicine,00264075,0,0.771,0.924,0.766,0,0.640
6529,Military Operations Research,02755823,0.312,0.303,0.343,0.289,0.333,0.188
6530,Milan Journal of Mathematics,14249286,0.815,0.467,0.22,0.933,1.062,0
6531,Milbank Quarterly,0887378X,5.061,4.644,5.62,4.766,3.872,3.122
6532,Milchwissenschaft-Milk Science International,00263788,0.227,0.279,0.35,0.416,0.406,0.346
6533,Mineral Processing and Extractive Metallurgy Review,08827508,0.69,0.647,0.667,0.611,0.964,1.500
6534,Minds And Machines,09246495,0.574,0.458,0.31,0.618,0.783,0.340
6535,Mine Water and the Environment,10259112,1.203,0.982,0.615,1.039,0,0
6536,Mineralium Deposita,00264598,2.667,2.147,1.684,2.061,1.52,2.037
6537,Minerals Engineering,08926875,1.714,1.207,1.352,1.241,1.333,1.022
6538,Minerals & Metallurgical Processing,07479182,0.545,0.379,0.22,0.167,0.229,0.224
6539,Mineralogy And Petrology,09300708,1.598,1.681,1.278,1.287,1.012,1.511
6540,Mineralogical Magazine,0026461X,1.898,2.212,1.321,0.949,0.735,0.810
6541,Minerva Anestesiologica,03759393,2.272,2.818,2.656,2.581,1.614,1.627
6542,Minerva Biotecnologica,11204826,0.263,0.379,0.257,0.295,0.268,0.100
6543,Minerva Cardioangiologica,00264725,0.481,0.427,0,0,0,0
6544,Minerva Chirurgica,00264733,0.707,0.394,0.77,0.537,0.277,0
6545,Minerva Endocrinologica,03911977,1.323,1.396,0.981,1.237,0,0
6546,Minerva Medica,00264806,1.202,0.771,0.904,0.949,0.706,0
6547,Minerva Ortop Trauma,00264911,0,0.043,0.087,0,0,0
6548,Minerva Pediatrica,00264946,0.723,0.638,0,0,0,0
6549,Minerva Urologica E Nefrologica,03932249,0.7,0.634,0,0,0,0
6550,Mini-Reviews In Medicinal Chemistry,13895575,3.186,2.865,2.528,2.622,2.971,3.132
6551,Mini-Reviews In Organic Chemistry,1570193X,0.826,1.063,2.406,2.284,1.448,1.449
6552,Minimally Invasive Neurosurgery,09467211,1.143,0.622,0.704,0.835,0.756,0.709
6553,Minimally Invasive Therapy & Allied Technologies,13645706,1.18,1.186,0.943,1.051,1.33,1.611
6554,Mis Quarterly,02767783,5.405,4.659,4.447,5.041,4.485,5.183
6555,Miskolc Mathematical Notes,17872405,0.357,0.304,0.351,0,0,0
6556,Mitigation and Adaptation Strategies for Global Change,13812386,2.019,1.856,1.234,0,0,0
6557,Mitochondrial DNA,19401736,1.701,1.705,1.488,1.273,0.333,0
6558,Mitochondrion,15677249,3.524,4.025,3.615,3.238,4.145,4.262
6559,Mitteilungen Klosterneuburg,00075922,0.031,0.032,0.106,0,0,0
6560,Mljekarstvo,0026704X,0.484,0.3,0,0,0.711,0
6561,Mobile Information Systems,1574017X,1.789,0,2.432,1.325,0.972,0
6562,Mobile DNA,17598753,2.429,0,0,0,0,0
6563,Mobile Networks & Applications,1383469X,1.496,1.109,0.838,0.683,1.013,1.619
6564,Modern Physics Letters A,02177323,1.338,1.11,1.083,0.99,1.075,1.334
6565,Modern Physics Letters B,02179849,0.687,0.479,0.474,0.438,0.512,0.471
6566,Modern Rheumatology,14397595,2.206,1.716,1.577,1.8,0,0
6567,Modeling Identification And Control,03327353,0.826,0.714,0.615,0.407,0.435,0
6568,Modelling And Simulation In Materials Science And Engineering,09650393,1.492,1.932,2.298,1.374,1.323,1.388
6569,Modern Pathology,08933952,6.364,5.253,4.792,4.176,4.406,4.678
6570,Mokuzai Gakkaishi,00214795,0.101,0.185,0.136,0.11,0.186,0.276
6571,Molecular Aspects Of Medicine,00982997,10.302,10.375,9.97,10.552,6.492,7.320
6572,Molecular Autism,20402392,5.486,0,0,0,0,0
6573,Molecular And Biochemical Parasitology,01666851,2.243,2.734,2.551,2.875,2.939,2.951
6574,Molecular Biology,00268933,0.74,0.637,0.658,0.654,0.57,0.849
6575,Molecular Biology Of The Cell,10591524,4.548,4.604,4.942,5.861,5.979,5.558
6576,Molecular Biology And Evolution,07374038,14.308,10.353,5.55,5.51,9.872,7.280
6577,Molecular Biology Reports,03014851,1.958,2.506,2.929,1.875,2.038,1.750
6578,Molecular BioSystems,1742206X,3.183,3.35,3.534,3.825,4.015,4.236
6579,Molecular Biotechnology,10736085,2.275,2.262,2.171,2.091,2.444,1.669
6580,Molecular Brain,17566606,4.345,4.202,0,0,0,0
6581,Molecular Breeding,13803743,2.281,3.251,2.852,2.193,2.272,2.008
6582,Molecular Cancer Research,15417786,4.502,4.353,4.288,4.373,4.162,4.533
6583,Molecular Cancer Therapeutics,15357163,6.107,5.599,5.226,5.225,4.953,5.003
6584,Molecular Cancer,14764598,5.397,5.134,3.993,3.779,4.16,5.362
6585,Molecular Carcinogenesis,08991987,4.77,4.269,3.164,3.265,3.202,3.571
6586,Molecular And Cellular Biochemistry,03008177,2.388,2.329,2.057,2.168,1.896,1.764
6587,Molecular And Cellular Biology,02707306,5.036,5.372,5.527,6.188,6.057,5.942
6588,Molecular And Cellular Endocrinology,03037207,4.241,4.039,4.192,4.119,3.503,3.611
6589,Molecular And Cellular Neuroscience,10447431,3.734,3.837,3.663,3.861,3.569,3.934
6590,Molecular And Cellular Probes,08908508,1.859,1.873,2.078,1.869,1.899,2.196
6591,Molecular & Cellular Proteomics,15359476,7.254,7.251,7.398,8.354,8.791,8.834
6592,Molecular & Cellular Toxicology,1738642X,0.83,0.72,0.88,0.451,0.867,0.759
6593,Molecular Cell,10972765,14.464,15.28,14.178,14.194,14.608,12.903
6594,Molecules And Cells,10168478,2.242,2.21,2.178,2.046,1.878,2.023
6595,Molecular Crystals And Liquid Crystals,15421406,0.491,0.53,0.58,0.543,0.451,0.537
6596,Molecular Cytogenetics,17558166,2.662,2.36,0,0,0,0
6597,Molecular Diagnosis & Therapy,11771062,2.589,1.692,1.71,2.561,2.167,2.139
6598,Molecular Diversity,13811991,2.544,2.861,3.153,3.721,2.071,0
6599,Molecular Ecology Notes,14718278,0,0,0,0,2.384,1.605
6600,Molecular Ecology Resources,1755098X,5.626,7.432,3.062,1.631,1.251,0
6601,Molecular Ecology,09621083,5.84,6.275,5.522,6.457,5.96,5.325
6602,Molecular Endocrinology,08888809,4.201,4.746,4.544,4.889,5.257,5.389
6603,Molecular Genetics And Genomics,16174615,2.831,2.881,2.635,2.453,2.579,2.838
6604,Molecular Genetics And Metabolism,10967192,2.827,2.834,3.193,3.539,2.897,2.629
6605,Molecular Genetics Microbiology and Virology,08914168,0.222,0.268,0.23,0.206,0,0
6606,Molecular Human Reproduction,13609947,3.483,4.542,3.852,3.506,3.005,2.537
6607,Molecular Imaging And Biology,15361632,2.869,3.095,3.844,3.139,2.467,3.372
6608,Molecular Imaging,15353508,2.191,3.408,3.18,3.169,2.786,3.329
6609,Molecular Immunology,01615890,3.003,2.645,2.897,2.916,3.202,3.555
6610,Molecular Informatics,18681743,2.013,2.338,2.39,,0,0
6611,Molecular Interventions,15340384,12.143,6.481,4.594,7.478,7.48,8.273
6612,Molecular Medicine Reports,17912997,1.484,1.17,0.418,0.307,0.22,0
6613,Molecular Medicine,10761551,4.824,4.469,3.757,5.908,5.02,3.411
6614,Molecular Membrane Biology,09687688,1.729,3.13,2.863,2.57,2.777,3.596
6615,Molecular Microbiology,0950382X,5.026,4.961,5.01,4.819,5.361,5.213
6616,Molecular Neurobiology,08937648,5.286,5.471,5.735,6.068,4.735,3.025
6617,Molecular Neurodegeneration,17501326,5.286,4.007,4.278,5.361,5.091,0
6618,Molecular Nutrition & Food Research,16134125,4.909,4.31,4.301,4.713,4.356,3.308
6619,Molecular Oncology,15747891,5.935,6.701,5.082,4.25,2.661,0
6620,Molecular Oral Microbiology,20411006,2.841,2.648,2.641,,0,0
6621,Molecular Pain,17448069,3.531,3.774,3.526,4.148,4.187,3.705
6622,Molecular Pharmaceutics,15438384,4.787,4.57,4.782,5.4,5.408,4.565
6623,Molecular Pharmacology,0026895X,4.12,4.411,4.883,4.725,4.531,4.711
6624,Molecular Phylogenetics And Evolution,10557903,4.018,4.066,3.609,3.889,3.556,3.871
6625,Molecular Physics,00268976,1.642,1.67,1.819,1.743,1.634,1.478
6626,Molecular Plant-Microbe Interactions,08940282,4.455,4.307,4.431,4.01,4.407,4.136
6627,Molecular Plant Pathology,14646722,4.485,3.877,3.899,3.709,3.455,3.084
6628,Molecular Plant,16742052,6.605,6.126,5.546,4.296,2.784,0
6629,Molecular Psychiatry,13594184,15.147,14.897,13.668,15.47,15.049,12.537
6630,Molecular Reproduction And Development,1040452X,2.675,2.812,2.532,2.395,2.041,2.287
6631,Molecular Simulation,08927022,1.119,1.056,1.328,1.215,1.028,1.325
6632,Molecular Systems Biology,17444292,14.099,11.34,8.626,9.667,12.125,12.243
6633,Molecular Therapy,15250016,6.425,7.041,6.873,7.149,6.239,5.970
6634,Molecular Vision,10900535,2.245,1.987,2.205,2.511,2.541,2.464
6635,Molecules,14203049,2.095,2.428,2.386,1.988,1.738,1.252
6636,Molluscan Research,13235818,0.69,0.617,0.906,0.625,0.583,0.690
6637,Monthly Notices Of The Royal Astronomical Society,00358711,5.226,5.521,4.9,0,5.103,5.185
6638,Monthly Weather Review,00270644,3.616,2.758,2.688,2.348,2.238,2.358
6639,Monatshefte Fur Chemie,00269247,1.347,1.629,1.532,1.356,1.312,1.426
6640,Monatshefte Fur Mathematik,00269255,0.638,0.698,0.616,0.528,0.764,0.584
6641,Monatsschrift Kinderheilkunde,00269298,0.278,0.193,0.274,0.231,0.308,0.269
6642,Moscow Mathematical Journal,16093321,0.347,0.682,0.47,0.721,0.712,0
6643,Moscow University Physics Bulletin,00271349,0.2,0.225,0.199,0.143,0,0
6644,Motor Control,10871640,1.453,1.39,1.527,1.204,1.452,1.578
6645,Motriz,19806574,0,0.086,0.124,0,0,0
6646,Movement Disorders,08853185,5.634,4.558,4.505,4.48,4.014,3.898
6647,Mrs Bulletin,08837694,5.069,5.024,4.95,4.747,6.33,5.290
6648,MRS Communications,21596859,1.553,1.25,0,0,0,0
6649,Mountain Research And Development,02764741,0.989,0.934,0.676,0.476,0.575,0.347
6650,Mount Sinai Journal Of Medicine,00272507,1.563,1.986,2,1.42,1.295,1.403
6651,Mucosal Immunology,19330219,7.537,7,6.963,6.817,3.627,0
6652,Multiple Sclerosis,13524585,4.863,4.472,4.255,4.23,3.279,3.312
6653,Multibody System Dynamics,13845640,1.747,2.023,1.321,1.259,1.802,0.988
6654,Multidimensional Systems And Signal Processing,09236082,1.578,0.857,0.953,0.822,0.524,0.486
6655,Multidiscip Resp Med,20496958,0,0.151,0,0,0,0
6656,Multimedia Tools And Applications,13807501,1.058,1.014,0.617,0.885,0.626,0.462
6657,Multimedia Systems,09424962,0.443,0.596,0.729,1.176,0.724,0.679
6658,Multiscale Modeling & Simulation,15403459,1.795,1.562,2.009,2.109,2.198,1.726
6659,Multisensory Research,22134794,0,0,0,0,0,0
6660,Multivariate Behavioral Research,00273171,2.971,1.657,1.412,1.29,2.328,1.647
6661,Muscle & Nerve,0148639X,2.311,2.314,2.367,2.302,2.287,2.594
6662,Mutagenesis,02678357,3.497,3.5,3.183,3.983,3.541,3.160
6663,Mutation Research-Fundamental And Molecular Mechanisms Of Mutagenesis,00275107,4.44,3.902,2.85,3.204,3.556,3.198
6664,Mutation Research-Genetic Toxicology And Environmental Mutagenesis,13835718,2.481,2.22,3.035,2.938,2.552,2.363
6665,Mutation Research-Reviews In Mutation Research,13835742,7.326,6.426,6.462,8.741,7.097,5.912
6666,Mycological Progress,1617416X,1.543,1.606,1.554,1.266,1.082,1.791
6667,Mycological Research,09537562,0,0,2.809,2.259,2.921,2.154
6668,Mycologia,00275514,2.128,2.11,2.031,1.641,1.587,2.359
6669,Mycopathologia,0301486X,1.545,1.489,1.654,1.81,1.728,1.652
6670,Mycorrhiza,09406360,2.985,2.955,2.63,2.571,2.65,2.205
6671,Mycoscience,13403540,1.288,1.165,1.212,0.774,0,0
6672,Mycoses,09337407,1.805,1.278,2.247,1.667,1.402,1.529
6673,Mycotaxon,00934666,0.643,0.821,0.709,0.752,0.574,0.549
6674,Myrmecological News,19944136,1.582,2.157,2.644,0,0,0
6675,North American Journal Of Aquaculture,15222055,0.706,0.755,0.664,0.579,0.645,0.466
6676,North American Journal Of Fisheries Management,02755947,1.11,1.179,0.943,1.203,1.073,0.811
6677,Naunyn-Schmiedebergs Archives Of Pharmacology,00281298,2.36,2.147,2.647,2.5,2.631,2.830
6678,Nachrichten Aus Der Chemie,14399598,0,0.201,0.191,0.11,0.133,0.128
6679,Nagoya Journal of Medical Science,21863326,0.803,0.643,0,0,0,0
6680,Nagoya Mathematical Journal,00277630,0.771,0.708,0.412,0.296,0.492,0.368
6681,Nano Energy,22112855,10.211,0,0,0,0,0
6682,Nano Letters,15306984,12.94,13.025,13.198,12.186,9.991,10.371
6683,Nano-Micro Letters,21505551,2.275,2.057,0,0,0,0
6684,Nano Research,19980124,6.963,7.392,6.97,5.071,4.37,0
6685,Nano Today,17480132,18.432,17.689,15.355,11.75,13.237,8.795
6686,Nano,17932920,1.26,1.167,1.193,1.106,1.008,0
6687,Nanomaterials and Nanotechnology,18479804,0.949,0,0,0,0,0
6688,Nanomedicine-Nanotechnology Biology and Medicine,15499634,5.978,6.93,6.692,4.882,5.44,0
6689,Nanomedicine,17435889,5.824,5.26,5.055,6.202,5.982,6.093
6690,Nanoscale and Microscale Thermophysical Engineering,15567265,0.972,1.333,1.032,1.903,1.9,1.000
6691,Nanoscale Research Letters,1556276X,2.481,2.524,2.726,2.557,2.894,1.731
6692,Nanoscale,20403364,6.739,6.233,5.914,0,0,0
6693,Nanoscience and Nanotechnology Letters,19414900,1.444,0.886,0.528,0,0,0
6694,Nanotechnology,09574484,3.672,3.842,3.979,3.644,3.137,3.446
6695,Nanotoxicology,17435390,7.336,7.844,5.758,3.88,5.744,3.720
6696,Natural Areas Journal,08858608,0.608,0.707,0.789,0.72,0.573,0.750
6697,Nature Biotechnology,10870156,39.08,32.438,23.268,31.085,29.495,22.297
6698,Nature Cell Biology,14657392,20.058,20.761,19.488,19.407,19.527,17.774
6699,Nature Chemical Biology,15524450,13.217,12.948,14.69,15.808,16.058,14.612
6700,Nature Chemistry,17554330,23.297,21.757,20.524,17.927,,0
6701,Nature Climate Change,1758678X,15.295,14.472,,0,0,0
6702,Nature Clinical Practice Cardiovascular Medicine,17434297,0,0,7.043,6.442,5.902,5.972
6703,Nature Clinical Practice Endocrinology & Metabolism,17458366,0,0,7.545,7.717,6.688,6.702
6704,Nature Clinical Practice Gastroenterology & Hepatology,17434378,0,0,5.333,4.508,4.52,4.550
6705,Nature Clinical Practice Nephrology,17458323,0,0,6.083,5.525,4.938,5.594
6706,Nature Clinical Practice Neurology,1745834X,0,0,7.636,7.707,6.362,6.979
6707,Nature Clinical Practice Oncology,17434254,0,0,8,8.676,8.075,9.113
6708,Nature Clinical Practice Rheumatology,17458382,0,0,5.846,7.113,5.533,5.677
6709,Nature Clinical Practice Urology,17434270,0,0,4.071,3.13,2.615,2.874
6710,Nature Communications,20411723,10.742,10.015,7.396,,0,0
6711,Natural Computing,15677818,0.539,0.683,0,0,0,0
6712,Natureza & Conservacao,16790073,0.897,1.467,1.049,0.565,0.227,0
6713,Nature Genetics,10614036,29.648,35.209,35.532,36.377,34.284,30.259
6714,Nature Geoscience,17520894,11.668,12.367,11.754,10.392,8.108,0
6715,Natural Hazards And Earth System Sciences,15618633,1.826,1.751,1.983,1.792,1.357,1.345
6716,Natural Hazards Review,15276988,0.788,0.78,1,0,0,0
6717,Natural Hazards,0921030X,1.958,1.639,1.529,1.398,1.217,0.989
6718,Natural History,00280712,0,0,0.176,0.167,0.139,0.084
6719,Nature Immunology,15292908,24.973,26.199,26.008,25.668,26,25.113
6720,Natural Language Engineering,13513249,0.463,0.474,0.432,0,0,0
6721,Nature Materials,14761122,36.425,35.749,32.841,29.897,29.504,23.132
6722,Nature Medicine,10788956,28.054,22.864,22.462,25.43,27.136,27.553
6723,Nature Methods,15487091,25.953,23.565,19.276,20.717,16.874,13.651
6724,Nature Nanotechnology,17483387,33.265,31.17,27.27,30.306,26.309,20.571
6725,Nature Neuroscience,10976256,14.976,15.251,15.531,14.191,14.345,14.164
6726,Nature Photonics,17494885,29.958,27.254,29.278,26.442,22.869,24.982
6727,Nature Physics,17452473,20.603,19.352,18.967,18.423,15.491,16.821
6728,Natural Product Communications,1934578X,0.924,0.956,1.242,0.894,0.745,0.766
6729,Natural Product Reports,02650568,10.715,10.178,9.79,8.881,9.202,7.450
6730,Natural Product Research,14786419,1.225,1.031,1.009,0.906,0.81,0.782
6731,Nature Protocols,17542189,7.782,7.96,9.924,8.362,6.335,4.170
6732,Natural Resources Forum,01650203,1,0.98,0.667,1.064,0.688,0.792
6733,Natural Resource Modeling,08908575,1.048,0.535,0.556,0.596,0.489,0.600
6734,Nature Reviews Cancer,1474175X,37.912,35,37.545,37.178,29.538,30.762
6735,Nature Reviews Cardiology,17595002,10.154,10.4,8.833,7.467,,0
6736,Nature Reviews Clinical Oncology,17594774,15.696,15.031,11.963,10.787,,0
6737,Nature Reviews Drug Discovery,14741776,37.231,33.078,29.008,28.712,29.059,28.690
6738,Nature Reviews Endocrinology,17595029,12.958,11.025,9.971,9.191,,0
6739,Nature Reviews Gastroenterology & Hepatology,17595045,10.807,10.426,8.102,4.558,,0
6740,Nature Reviews Genetics,14710056,39.794,41.063,38.075,32.745,27.822,24.185
6741,Nature Reviews Immunology,14741733,33.836,33.129,33.287,35.196,32.245,30.006
6742,Nature Reviews Microbiology,17401526,23.317,22.49,21.182,20.686,17.644,14.310
6743,Nature Reviews Molecular Cell Biology,14710072,36.458,37.162,39.123,38.65,42.198,35.423
6744,Nature Reviews Nephrology,17595061,8.368,7.943,7.092,4.75,,0
6745,Nature Reviews Neurology,17594758,14.103,15.518,12.461,6.511,,0
6746,Nature Reviews Neuroscience,1471003X,31.376,31.673,30.445,0,0,0
6747,Nature Reviews Rheumatology,17594790,10.252,9.745,8.388,6.448,,0
6748,Nature Reviews Urology,17594812,4.522,4.793,4.415,2.891,,0
6749,Nature Structural & Molecular Biology,15459993,11.633,11.902,12.712,0,0,0
